Filename,speaker,gender,passage,trial,word,frequency,phoneme,duration,f0_midpoint,F1_midpoint,F2_midpoint,,,,health,high
STE-366_1_2,3,F,1,2,effect,high,E,0.175233133,220.1501895,799.008298,1865.703061,,,,,
STE-366_1_2,3,F,1,2,tax,high,{,0.146739941,221.8244747,794.6303675,1873.85815,,,,,
STE-366_2_1,3,F,2,1,neighborhood,high,eI,0.12664729,241.3341124,595.6013939,2400.517897,,,,,
STE-366_2_1,3,F,2,1,rattling,low,{,0.117264272,249.6478748,876.5283939,1746.743694,,,,,
STE-366_2_1,3,F,2,1,several,high,E,0.077331034,233.4355673,675.0849556,1795.573202,,,,,
STE-366_2_1,3,F,2,1,lasses,low,{,0.160366816,204.3109608,780.8934905,1903.830072,,,,,
STE-366_2_1,3,F,2,1,prefab,low,{,0.157197511,100.8826006,836.6490048,1833.124083,,,,,
STE-366_2_1,3,F,2,1,stategy,high,{,0.067189259,266.993222,786.7677741,1757.82655,,,,,
STE-366_2_1,3,F,2,1,chamfer,low,{,0.126772186,246.6209144,847.8002921,1812.874902,,,,,
STE-366_2_1,3,F,2,1,enmeshing,low,E,0.121067438,230.5284379,777.5364485,1961.525654,,,,,
STE-366_2_1,3,F,2,1,after,high,{,0.091275974,146.2411822,926.2441938,1885.72133,,,,,
STE-366_2_1,3,F,2,1,checked,high,E,0.155774104,225.2193046,772.6025995,1814.059412,,,,,
STE-366_2_1,3,F,2,1,somitazation,low,eI,0.169385434,213.8506026,476.9997257,2265.549135,,,,,
STE-366_2_1,3,F,2,1,natural,high,{,0.138287327,215.5433264,826.1107,2063.169099,,,,,
STE-366_2_1,3,F,2,1,antedating,low,eI,0.159933121,218.4378902,565.5447565,2285.518634,,,,,
STE-366_2_1,3,F,2,1,prevented,high,E,0.104531452,238.3842823,799.4519439,2028.166061,,,,,
STE-366_2_1,3,F,2,1,scathingly,low,eI,0.159933121,209.5970096,492.1735078,2374.962432,,,,,
STE-366_2_1,3,F,2,1,traipsed,low,eI,0.14111746,213.3801399,538.102129,2155.427659,,,,,
